,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
C0,212312.05,264907.34,305256.06,463532.6,171743.81,191586.89,450624.72,437228.0,411980.12,373993.25,351480.84,484035.97,596523.56,1087338.1,955385.6
C1,158155.16,191631.52,208016.22,253372.73,222534.9,238852.67,241156.73,261634.03,268216.7,271914.72,268060.0,279079.4,284396.22,307965.4,282211.4
C2,64764.19,64523.504,67930.34,88732.21,94768.83,97941.56,90913.67,86758.016,74670.94,63079.46,61172.477,71863.14,76368.93,94309.414,65842.76
C3,74758.83,86710.71,79222.42,114683.61,158868.88,138222.67,111710.54,106145.99,110427.12,114402.55,119160.74,131319.6,145021.6,177628.81,163984.73
C4,5314.834,4398.695,4694.004,15483.929,18970.059,16130.504,15807.444,12729.452,10352.374,8881.029,8551.473,9002.979,9319.175,12741.317,9324.205
C5,8883.144,5443.445,4181.63,6906.411,5338.183,4325.321,5158.712,4354.506,2953.183,1898.924,1208.711,1556.111,1518.141,2733.859,952.185
C6,3591.978,4268.885,2199.236,5424.406,2874.017,2451.022,3721.207,5530.086,5234.022,4624.541,3840.1,4791.558,4702.105,6526.146,2591.049
C7,1030.596,1929.88,1175.171,1836.848,1380.273,1831.579,2836.193,3329.148,2680.025,2025.777,1540.761,2078.254,2213.087,3830.701,1400.099
C8,1022.003,1652.133,1479.9,2951.212,3289.032,2781.349,2762.687,6819.729,9089.638,10433.353,11270.597,12407.345,13169.569,16466.6,15152.277
C9,1038.77,742.215,587.376,1724.338,1158.452,1135.497,1481.698,3698.694,4108.276,4265.458,3728.748,4547.526,4666.48,5500.277,3379.944
C10,2671.256,2519.171,2501.694,5095.016,2932.778,4384.281,4496.372,4709.592,3948.612,3104.9,2488.438,3298.318,3346.814,4568.044,1569.55
C11,4324.796,5667.775,3610.594,10425.492,6111.167,4514.99,9130.719,12218.173,10116.705,7855.608,6536.68,9350.092,9353.414,15666.912,5318.284
C12,10457.442,11041.045,13584.492,19588.846,13386.833,12197.915,15297.925,18461.316,17545.133,16241.564,21069.01,29953.275,37156.69,55702.914,42829.566
C13,9442.022,11911.053,11726.047,18293.184,16455.365,16207.675,18174.072,16423.322,14167.512,12028.241,10629.406,14253.567,14927.516,20985.121,9895.712
C14,6246.908,8955.591,11337.074,13323.231,11511.413,11967.325,11657.321,9221.559,6870.812,5231.313,3960.943,5091.302,5638.387,10252.616,8548.344
C15,10474.138,15369.895,18405.078,37073.9,26362.186,22166.414,25845.951,36510.016,43581.67,49647.8,49556.117,64427.14,74863.375,111783.984,89466.53
C16,27549.693,32205.832,37855.105,52034.527,49790.383,51404.78,49448.074,50258.84,50734.656,50892.29,48877.332,49392.305,52652.906,63649.03,62977.176
C17,39071.496,50107.242,52748.02,89243.71,85435.914,75011.39,92217.79,113876.625,133410.12,151698.42,169428.38,191581.95,208975.9,244171.19,207838.52
C18,61416.1,78012.78,88884.49,120138.31,115539.805,102285.35,117889.28,144035.28,164250.8,184492.88,197364.44,209759.34,226815.34,258039.36,253868.28
C19,23871.152,31002.516,37621.176,46525.55,35652.656,40574.477,49991.01,46966.273,43206.754,39905.895,32329.63,44430.82,49607.28,80822.95,53131.71
C20,23096.898,31368.986,35040.727,37780.57,36947.406,38390.914,48200.65,44519.285,38667.34,34949.957,31578.59,37735.656,36623.64,42516.742,20189.516
C21,335465.38,384771.12,381325.62,386681.44,317015.44,375794.84,484465.66,516371.3,533044.75,541533.44,552758.56,567778.4,567919.94,561997.5,494788.5
C22,3451.991,2963.095,1986.06,2915.817,1281.888,1330.293,4556.397,5699.254,4577.248,3681.85,2845.456,3595.288,3324.891,4964.642,1514.801
C23,322185.12,405658.72,414118.12,427755.3,410268.56,438593.84,499637.47,530665.9,549548.25,564592.94,574426.56,602904.7,629359.25,688327.7,654839.5
C24,4043.917,3863.079,5004.796,7240.013,3330.838,2433.909,4442.884,3985.834,2781.296,1865.255,1564.261,2186.381,1997.406,2795.776,425.435
C25,1470399.5,1554746.8,1685707.9,1826421.1,1783379.9,1787045.4,1867031.1,1996717.9,2069289.9,2115965.5,2154329.8,2196730.0,2242368.2,2338092.0,2301627.2
C26,173182.84,190226.55,232527.19,272097.62,234793.34,242790.92,321673.56,355519.5,369722.53,381418.5,386195.44,406118.4,422938.9,467656.94,442735.75
C27,470300.56,517897.3,571000.2,664161.9,600323.8,593349.75,708989.94,814489.8,879545.9,930262.56,972506.1,1002608.5,1022278.06,1073774.0,1000321.1
C28,2737755.2,2876109.8,2960780.5,2956967.8,2633770.2,2745661.8,3045268.8,3270811.0,3435219.5,3561198.5,3642339.5,3696361.0,3735776.8,3784341.5,3682790.0
C29,159062.22,211841.58,257858.86,449883.88,483601.06,395605.12,372799.75,418492.94,454029.97,478998.6,498837.12,516109.94,545576.6,611642.6,634617.4
C30,200076.02,213380.81,225706.17,311439.12,288058.06,320719.12,330174.03,385744.2,422264.9,448049.78,470864.56,486500.72,505885.34,555189.9,525306.5
C31,97057.82,142776.9,191396.92,388104.06,418375.53,365576.9,351031.25,429276.44,481285.06,523421.94,567101.7,600038.1,644962.4,753771.25,777491.7
C32,81357.34,119597.14,179369.73,362471.97,398632.6,315581.03,295799.9,336606.66,366409.06,390019.9,413522.12,434043.1,459616.25,524848.56,536049.2
C33,61351.04,96856.17,133662.19,249582.9,253888.86,264833.8,280898.66,359809.88,405714.66,442343.97,477916.0,513846.62,550409.0,639481.4,624747.4
C34,163924.67,167217.38,200304.55,398312.25,491495.06,510746.03,508205.4,632871.1,665158.06,675181.4,678724.94,680483.7,685029.9,699301.5,705639.8
C35,12733.393,12444.595,10522.646,23999.217,37058.81,42361.87,31913.81,31168.584,25435.781,19667.414,16462.916,20905.871,22693.883,37455.027,26872.047
C36,18561.803,20671.021,14190.75,29250.047,39044.51,46038.07,35596.78,30874.637,26721.34,24479.584,23506.158,27317.043,29213.742,38685.58,25711.156
C37,13818.321,11354.299,11389.516,24220.098,35521.453,36239.05,30148.426,31014.793,29585.736,27656.77,26807.805,31424.201,33413.363,42024.645,27589.621
C38,13256.457,11019.745,11028.105,20676.732,31534.889,33739.176,26123.176,23506.812,19481.441,15786.723,12906.91,17178.654,18105.795,27328.242,14950.83
C39,7894.418,7243.925,10468.546,19554.307,28291.148,31873.785,28538.79,35091.215,28960.857,22935.248,17727.408,24048.826,26254.928,45327.59,28671.146
C40,8262.924,7319.424,9951.327,23701.053,40032.86,42554.47,29831.418,33287.734,31390.215,29091.043,28053.94,31462.0,34085.98,46576.59,36448.02
C41,12075.454,15031.281,9971.713,24889.814,38262.38,31212.5,30299.787,37941.527,42699.297,44952.324,47350.074,55592.27,61585.85,78368.27,62959.45
C42,136026.47,185237.78,179439.9,229288.84,222938.39,270435.3,271489.25,300729.22,327508.94,347273.6,358359.38,383469.84,411732.38,492252.5,471723.72
