,Longitude,Latitude
C0,-139.10923454099697,57.00272405339145
C1,-151.9273731991316,58.505032563647134
C2,-165.13984304644282,61.08285089412067
C3,-175.5901567306284,60.96279478541088
C4,-173.31694722709904,74.47464628730768
C5,-159.76605174892194,75.50826545280304
C6,-147.65924183729936,75.48007747648036
C7,-137.39486703772417,74.90847247990104
C8,-129.93776575183617,67.539234634712
C9,-125.15939056548494,72.88455903896863
C10,-114.53934065934065,68.3279120879121
C11,-99.55687299035368,72.18127009646304
C12,-86.90616246498604,74.33504512916278
C13,-80.63608364402648,61.92656832549846
C14,-89.8523626497852,60.06918381189238
C15,-71.81135437881868,74.73994399185338
C16,-65.48111716142638,62.16142631301599
C17,-58.052923166642444,71.62472663653595
C18,-55.03403256564472,60.20272847293531
C19,-43.39595433607039,59.41438013218506
C20,-32.75791505791503,63.9073359073359
C21,-22.62268628381571,64.83088118968517
C22,-17.770811921891095,74.38144178534725
C23,-10.587384259259409,64.79629629629629
C24,-5.415437436419239,76.46592065106815
C25,1.6291769600831287,65.9551423742036
C26,8.465501691093749,74.78602029312289
C27,20.476308575903857,75.94622111995821
C28,18.76525157232703,64.25660377358489
C29,36.382750323894356,67.62650379418841
C30,32.36148694820292,76.18081180811808
C31,45.786892554614724,74.39578689255463
C32,57.150097465887,74.44139863547757
C33,67.82976800241025,75.93582404338656
C34,76.30399761336542,72.98031026252981
C35,88.00377814719667,77.83542390811547
C36,107.63618119266022,77.43620986238533
C37,123.62042701960269,76.4990635535023
C38,137.49161575458174,76.24216820486157
C39,150.93513001083403,76.08640303358612
C40,162.79296972729537,74.94908681511133
C41,174.04487437861093,74.7882574230821
C42,171.72358292512246,58.36627011896431
